RT_UNIQUE,RT_DESCR,CNTY_NAME,D_GOV_LEVEL,GOV_LEVEL,SPEEDLIM,MILES,D_DISTRICT
008-KY-0842  -000,WEAVER RD,Boone,State Maintained Roads,01,45.0,0.726,Covington
019-KY-0010  -000,E MAIN ST,Campbell,State Maintained Roads,01,35.0,0.25,Covington
019-KY-0009  -000,LICKING PIKE,Campbell,State Maintained Roads,01,45.0,1.988,Covington
059-KY-1930  -000,LOCUST PIKE,Kenton,State Maintained Roads,01,55.0,1.063,Covington
059-CS-6141  -000,HIGHWATER RD,Kenton,City Maintained Roads,04,35.0,0.158,Covington
059-KY-0017  -000,GREENUP ST+JOHN ROEBLING BRIDGE,Kenton,State Maintained Roads,01,25.0,1.251,Covington
008-KY-0018  -000,BURLINGTON PIKE,Boone,State Maintained Roads,01,45.0,1.92,Covington
019-KY-2238  -000,LOUIE B. NUNN DR+UNIVERSITY DR,Campbell,State Maintained Roads,01,35.0,0.433,Covington
019-KY-1120  -000,E 10TH ST,Campbell,State Maintained Roads,01,30.0,0.453,Covington
019-KY-2345  -000,MARTHA L. COLLINS BLVD+JOHNS HILL RD,Campbell,State Maintained Roads,01,35.0,3.316,Covington
019-CS-2032  -000,BERRY AVE,Campbell,City Maintained Roads,04,20.0,0.353,Covington
019-KY-0008  -000,INDUSTRIAL RD,Campbell,State Maintained Roads,01,45.0,0.758,Covington
008-KY-0020  -000,PETERSBURG RD,Boone,State Maintained Roads,01,45.0,1.6,Covington
059-KY-0017  -000,MADISON PIKE,Kenton,State Maintained Roads,01,30.0,1.616,Covington
059-KY-0371  -000,ORPHANAGE RD,Kenton,State Maintained Roads,01,35.0,0.907,Covington
008-US-0025  -000,DIXIE HWY,Boone,State Maintained Roads,01,45.0,5.923,Covington
059-CS-2217  -000,WEST 7TH ST,Kenton,City Maintained Roads,04,25.0,0.12,Covington
059-CS-2403  -000,CAROLINE AVE,Kenton,City Maintained Roads,04,25.0,0.156,Covington
008-KY-0338  -000,EAST BEND RD,Boone,State Maintained Roads,01,55.0,2.095,Covington
019-KY-0445  -000,MARY INGLES HWY,Campbell,State Maintained Roads,01,45.0,0.059,Covington
019-KY-0008  -000,MARY INGLES HWY,Campbell,State Maintained Roads,01,55.0,9.834,Covington
019-CS-1134  -000,CENTRAL AVE,Campbell,City Maintained Roads,04,25.0,0.721,Covington
059-CS-8096  -000,GRAND AVE,Kenton,City Maintained Roads,04,25.0,0.962,Covington
059-CS-4128  -000,DUDLEY RD,Kenton,City Maintained Roads,04,25.0,1.187,Covington
008-KY-3076  -000,DOLWICK RD,Boone,State Maintained Roads,01,55.0,0.326,Covington
059-CS-3511  -000,AMSTERDAM RD,Kenton,City Maintained Roads,04,25.0,1.059,Covington
059-CS-2609  -000,WEST 3RD ST,Kenton,City Maintained Roads,04,30.0,0.455,Covington
008-KY-0237  -000,NORTH BEND RD,Boone,State Maintained Roads,01,45.0,3.621,Covington
019-CS-4031  -000,HIGHLAND AVE,Campbell,City Maintained Roads,04,25.0,1.384,Covington
059-KY-2373  -000,BROMLEY-CRESCENT SPRINGS RD+MAIN ST,Kenton,State Maintained Roads,01,20.0,0.46,Covington
059-KY-0008  -001,WEST 4TH ST+EAST 4TH ST,Kenton,State Maintained Roads,01,30.0,0.99,Covington
059-KY-0016  -000,PRIDE PKWY+WINSTON AVE,Kenton,State Maintained Roads,01,35.0,0.785,Covington
019-KY-0008X -000,SIXTH AVE+MAIN ST,Campbell,State Maintained Roads,01,25.0,0.196,Covington
008-KY-0237  -000,GUNPOWDER RD,Boone,State Maintained Roads,01,35.0,1.588,Covington
019-CS-4169  -000,N FT THOMAS AVE,Campbell,City Maintained Roads,04,25.0,1.904,Covington
059-KY-0842  -000,RICHARDSON RD,Kenton,State Maintained Roads,01,35.0,0.449,Covington
019-CS-1037  -000,SARATOGA ST,Campbell,City Maintained Roads,04,25.0,0.71,Covington
008-KY-0018  -000,MCVILLE RD,Boone,State Maintained Roads,01,55.0,1.908,Covington
059-US-0025  -000,DIXIE HWY,Kenton,State Maintained Roads,01,35.0,2.276,Covington
008-KY-2846  -000,TANNER RD,Boone,State Maintained Roads,01,45.0,1.328,Covington
019-KY-1121  -000,PERSIMMON GROVE PIKE,Campbell,State Maintained Roads,01,35.0,0.303,Covington
019-KY-0547  -000,RILEY RD,Campbell,State Maintained Roads,01,30.0,0.47,Covington
059-KY-0177  -000,DECOURSEY AVE,Kenton,State Maintained Roads,01,30.0,1.031,Covington
059-KY-1072  -000,SLEEPY HOLLOW RD,Kenton,State Maintained Roads,01,30.0,0.736,Covington
019-CS-1119  -000,W 4TH ST,Campbell,City Maintained Roads,04,30.0,0.231,Covington
019-KY-3490  -000,JOHNS HILL RD,Campbell,State Maintained Roads,01,25.0,0.337,Covington
008-CR-1052  -000,BULLITTSVILLE RD,Boone,County Maintained Roads,02,25.0,0.151,Covington
059-CS-2203  -000,SCOTT ST,Kenton,City Maintained Roads,04,25.0,0.093,Covington
059-KY-1501  -000,HANDS PIKE,Kenton,State Maintained Roads,01,35.0,2.245,Covington
059-KY-1930  -000,LOCUST PIKE,Kenton,State Maintained Roads,01,35.0,2.259,Covington
008-KY-0536  -000,MT ZION RD,Boone,State Maintained Roads,01,45.0,0.589,Covington
059-CS-5544  -000,CENTRE VIEW BLVD,Kenton,City Maintained Roads,04,25.0,0.476,Covington
059-CS-6142  -000,BUTTERMILK PIKE,Kenton,City Maintained Roads,04,35.0,0.527,Covington
019-KY-0009  -000,LICKING PIKE,Campbell,State Maintained Roads,01,35.0,0.167,Covington
059-CS-2093  -000,RUSSELL ST,Kenton,City Maintained Roads,04,25.0,0.451,Covington
008-KY-0018  -000,BURLINGTON PIKE,Boone,State Maintained Roads,01,55.0,0.713,Covington
008-CR-1295  -000,COUGAR PATH,Boone,County Maintained Roads,02,45.0,0.16,Covington
059-CS-4128  -000,DUDLEY RD,Kenton,City Maintained Roads,04,35.0,2.041,Covington
059-KY-0017  -000,MADISON AVE,Kenton,State Maintained Roads,01,25.0,0.209,Covington
019-KY-0010  -000,E MAIN ST,Campbell,State Maintained Roads,01,45.0,0.458,Covington
019-KY-2921  -000,WASHINGTON TRACE RD+PAINTER RD,Campbell,State Maintained Roads,01,55.0,2.223,Covington
008-US-0025  -000,DIXIE HWY,Boone,State Maintained Roads,01,35.0,1.684,Covington
019-KY-0008  -000,INDUSTRIAL RD,Campbell,State Maintained Roads,01,55.0,1.433,Covington
019-CS-1207  -000,E 6TH ST,Campbell,City Maintained Roads,04,25.0,0.673,Covington
019-US-0027  -001,E 11TH ST+YORK ST,Campbell,State Maintained Roads,01,25.0,0.84,Covington
059-CS-2023  -000,JOHNSON ST N,Kenton,City Maintained Roads,04,25.0,0.068,Covington
008-CR-1002  -000,LONGBRANCH RD,Boone,County Maintained Roads,02,35.0,1.851,Covington
059-CS-2218  -000,WEST PIKE ST,Kenton,City Maintained Roads,04,25.0,0.396,Covington
059-CS-8124  -000,BUDS WAY,Kenton,City Maintained Roads,04,30.0,0.17,Covington
059-CS-3801  -000,AMSTERDAM RD,Kenton,City Maintained Roads,04,35.0,0.752,Covington
008-CS-2086  -000,OLD UNION RD,Boone,City Maintained Roads,04,35.0,0.169,Covington
019-CR-1306  -000,WEST LOW GAP RD,Campbell,County Maintained Roads,02,35.0,0.698,Covington
059-CS-2406  -000,WEST SOUTHERN AVE,Kenton,City Maintained Roads,04,25.0,0.062,Covington
008-I -0075  -000,I-75,Boone,State Maintained Roads,01,70.0,10.161,Covington
059-KY-0008  -000,RIVER RD,Kenton,State Maintained Roads,01,45.0,1.648,Covington
059-KY-2967  -000,E ORCHARD RD,Kenton,State Maintained Roads,01,25.0,0.113,Covington
059-KY-2372  -000,PARK RD+AMSTERDAM RD,Kenton,State Maintained Roads,01,35.0,0.581,Covington
019-CS-2046  -000,COVERT RUN PIKE,Campbell,City Maintained Roads,04,25.0,0.855,Covington
008-KY-0237  -000,NORTH BEND RD,Boone,State Maintained Roads,01,45.0,0.694,Covington
059-CS-3066  -000,ERLANGER RD,Kenton,City Maintained Roads,04,25.0,0.109,Covington
019-KY-1892  -000,S GRAND AVE+N GRAND AVE+GRAND AVE+CAROTHERS RD,Campbell,State Maintained Roads,01,35.0,2.568,Covington
059-KY-1072  -000,HIGHLAND PIKE,Kenton,State Maintained Roads,01,35.0,0.731,Covington
019-CS-7069  -000,E ALEXANDRIA PIKE,Campbell,City Maintained Roads,04,20.0,0.384,Covington
019-KY-0009  -000,AA HWY+LICKING PIKE,Campbell,State Maintained Roads,01,45.0,1.31,Covington
008-KY-0237  -000,PLEASANT VALLEY RD+CAMP ERNST RD,Boone,State Maintained Roads,01,45.0,0.991,Covington
059-KY-3035  -000,MADISON PIKE,Kenton,State Maintained Roads,01,45.0,0.347,Covington
019-KY-0547  -000,FOUR MILE RD,Campbell,State Maintained Roads,01,55.0,0.032,Covington
008-CS-1002  -000,MALL RD,Boone,City Maintained Roads,04,35.0,1.52,Covington
019-CS-1075  -000,W 12TH ST,Campbell,City Maintained Roads,04,25.0,0.261,Covington
008-PR-1234  -000,WENDELL H FORD BLVD,Boone,Private Roads,26,35.0,1.708,Covington
008-KY-0212  -000,AIRPORT ACCESS RD,Boone,State Maintained Roads,01,45.0,1.065,Covington
059-KY-0177  -000,DECOURSEY PIKE,Kenton,State Maintained Roads,01,45.0,0.137,Covington
019-KY-0471  -000,KY-471,Campbell,State Maintained Roads,01,45.0,0.19,Covington
008-KY-0338  -000,IDLEWILD RD,Boone,State Maintained Roads,01,45.0,0.86,Covington
019-KY-1997  -000,STONEHOUSE RD,Campbell,State Maintained Roads,01,55.0,4.592,Covington
008-KY-1829  -000,INDUSTRIAL RD,Boone,State Maintained Roads,01,45.0,1.93,Covington
059-KY-1829  -000,RICHARDSON RD,Kenton,State Maintained Roads,01,45.0,2.737,Covington
059-US-0025  -000,DIXIE HWY+PIKE ST,Kenton,State Maintained Roads,01,35.0,0.624,Covington
019-KY-2925  -000,E ALEXANDRIA PIKE,Campbell,State Maintained Roads,01,35.0,2.083,Covington
059-CS-2208  -000,LEWIS ST,Kenton,City Maintained Roads,04,25.0,0.3,Covington
059-CS-2093  -000,RUSSELL ST,Kenton,City Maintained Roads,04,25.0,0.728,Covington
059-CS-7070  -000,BEECHWOOD RD,Kenton,City Maintained Roads,04,25.0,1.225,Covington
059-KY-0017  -000,MADISON PIKE,Kenton,State Maintained Roads,01,55.0,4.753,Covington
019-CS-1014  -000,E 4TH ST,Campbell,City Maintained Roads,04,30.0,0.089,Covington
008-KY-0020  -000,BELLEVIEW RD,Boone,State Maintained Roads,01,55.0,6.232,Covington
008-KY-0018  -000,BURLINGTON PIKE,Boone,State Maintained Roads,01,45.0,3.1,Covington
008-CR-1058  -000,ROGERS LN,Boone,County Maintained Roads,02,25.0,0.372,Covington
019-KY-0010  -000,W MAIN ST,Campbell,State Maintained Roads,01,35.0,0.338,Covington
059-CS-5555  -000,THOMAS MORE PKWY,Kenton,City Maintained Roads,04,35.0,0.977,Covington
008-KY-0842  -000,RICHARDSON RD,Boone,State Maintained Roads,01,40.0,0.283,Covington
008-US-0042  -000,US-42,Boone,State Maintained Roads,01,35.0,0.355,Covington
059-KY-1303  -000,TURKEYFOOT RD,Kenton,State Maintained Roads,01,35.0,0.398,Covington
008-KY-0008  -000,RIVER RD,Boone,State Maintained Roads,01,35.0,1.799,Covington
059-KY-0008  -000,PIKE ST+ELM ST+HIGHWAY AVE+CRESCENT AVE,Kenton,State Maintained Roads,01,30.0,2.772,Covington
059-CS-2355  -000,HIGHLAND AVE,Kenton,City Maintained Roads,04,25.0,1.005,Covington
008-US-0042  -000,US-42,Boone,State Maintained Roads,01,45.0,1.844,Covington
